Time,x
0,-1.5515762185560396
1,-1.5484316334984998
2,-1.545280842479796
3,-1.5414870324078296
4,-1.5409130558317727
5,-1.554533681064815
6,-1.5546481901889413
7,-1.5456340472189387
8,-1.5470403294652109
9,-1.555148392301376
10,-1.5534934395796804
11,-1.5668733031971076
12,-1.5554429448948583
13,-1.5560120236666761
14,-1.5588448443270497
15,-1.5755462128021909
16,-1.546367281846959
17,-1.553232326418826
18,-1.5625102029223101
19,-1.5594490098660196
20,-1.5647550908256582
21,-1.5472316293037949
22,-1.556137733646368
23,-1.5415106234155196
24,-1.5403756296993474
25,-1.5352824107962542
26,-1.530637248958717
27,-1.5336902237799976
28,-1.5437816721581878
29,-1.54308356399301
30,-1.555282373913378
31,-1.5357290493213125
32,-1.5330446196995977
33,-1.5327363855118665
34,-1.5348942808351824
35,-1.5313603825548834
36,-1.5212290953885204
37,-1.5229670503081536
38,-1.5330598007758742
39,-1.5370258349089454
40,-1.5420248949475794
41,-1.5458895398566388
42,-1.5350191411277159
43,-1.5383724030921224
44,-1.5417867844405073
45,-1.5487627571231883
46,-1.5325425176992107
47,-1.5432578776303434
48,-1.5451245718524118
49,-1.5289612099969958
50,-1.5314215219149583
51,-1.536118888369168
52,-1.543534403916378
53,-1.5540039602599915
54,-1.5396540124360447
55,-1.545216921380285
56,-1.5566938231280114
57,-1.5432696835067234
58,-1.5362354283638775
59,-1.547362467847848
60,-1.5351222713861306
61,-1.5369462069247115
62,-1.537982403244739
63,-1.5429599237173415
64,-1.5509836114759141
65,-1.5467889382003248
66,-1.5425573881212724
67,-1.5500747515998172
68,-1.5515153037361107
69,-1.5484915423750665
70,-1.5533152752215023
71,-1.5415196403255726
72,-1.5323954588359872
73,-1.5405557533195273
74,-1.534945037679218
75,-1.544199188600236
76,-1.5508749051046926
77,-1.560922585919327
78,-1.5519962331613566
79,-1.5498243043279158
80,-1.5532127680156615
81,-1.549408638437108
82,-1.5363423758227448
83,-1.5451841265807493
84,-1.551565710932329
85,-1.5731911215831953
86,-1.5583933330088573
87,-1.5405532553893846
88,-1.548413348231673
89,-1.5415230806667701
90,-1.5415054628063216
91,-1.5407215550214097
92,-1.5353994135323874
93,-1.5421912351645173
94,-1.551261020219604
95,-1.5550005713090507
96,-1.543122617729781
97,-1.5496091981362181
98,-1.5472218011810719
99,-1.5611041788849176
100,-1.5616406308271837
101,-1.547142236474605
102,-1.5486833969000835
103,-1.5534490792088023
104,-1.553442246047173
105,-1.5453729189572396
106,-1.5270841707307294
107,-1.5310502131977486
108,-1.523904695198017
109,-1.5483771359948444
110,-1.5445969707843015
111,-1.5550469855983664
112,-1.5380872078902015
113,-1.5447109224536706
114,-1.5492429021814242
115,-1.5314532709222592
116,-1.5472481720478937
117,-1.5417327515239698
118,-1.5415755973933822
119,-1.5420889413696706
120,-1.5317601730638588
121,-1.5325019259924721
122,-1.5327757552960444
123,-1.5335035845894924
124,-1.543773941988068
125,-1.5312270660405631
126,-1.5337564015556648
127,-1.54882142616955
128,-1.5408615095901799
129,-1.5404432194220676
130,-1.5435612359871997
131,-1.5540592100342279
132,-1.5414969958034075
133,-1.5429821354962219
134,-1.5483061732460353
135,-1.5513839455526963
136,-1.552911834032163
137,-1.5558645127381645
138,-1.5635633786213736
139,-1.5535852773980554
140,-1.5329232152812238
141,-1.5346857048374918
142,-1.5372703493573505
143,-1.5320183574265012
144,-1.546779211760106
145,-1.5514907946559602
146,-1.5501716276708073
147,-1.5440972241056357
148,-1.5610419232602877
149,-1.5537179249387378
150,-1.54713879666007
151,-1.5524409232093745
152,-1.5420912752933538
153,-1.5438624692864884
154,-1.5483454355753832
155,-1.5416257746661959
156,-1.53150087988187
157,-1.5336693661208458
158,-1.5274212995126217
159,-1.5180710849416117
160,-1.5287575417925117
161,-1.5407000685442624
162,-1.52774235931663
163,-1.5411943755477033
164,-1.5438054469840707
165,-1.5419949158767778
166,-1.5339376799759108
167,-1.5422966685932686
168,-1.5479950944712897
169,-1.5356393983833463
170,-1.5317082595044271
